Title,Speaker,Speech
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"The Trump administration never set up a task force to combat the numerous incidents of deadly terrorist violence by white supremacists and other extremists. It was only after the black lives matter activists protested last summer against police misconduct, that the administration found the need to establish a task force to address, and I quote, “antigovernment extremists.” In a recent report in the New York Times details how the Trump administration’s baseless efforts to paint the far left as the real domestic terrorism threat quote, “diverted key portions of the federal law enforcement and domestic security agencies at a time when the threat from the far right was building ominously.” To put this challenge in context, even conservative writers believe we are now facing a constitutional crisis. For the first time ever, we have failed to have a peaceful transfer of power and many are questioning the legitimacy of the current administration."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"The fact that this divisive political force is hateful and violent, challenges all of us to redouble our efforts. I join my Republican colleagues unequivocally in condemning left wing violence, but let’s stop pretending that the threat of Antifa is equivalent to the white supremacist threat. Vandalizing a federal courthouse in Portland is a crime. It should be prosecuted to the full extent of the law, but it is not equivalent to a violent attempt to overturn the results of elections, nor is it equivalent to mass shootings targeting minority communities. This false equivalency is an insult to the brave police officers who were injured or lost their lives on January 6th, as well dozens of others who’ve been murdered in white supremacist attacks. We need to be abundantly clear that the white supremacists and other extremists, are the most significant domestic terrorism threat facing the United States today. I hope everyone in this room can look at the facts and acknowledge this, and we can come together on a bipartisan basis to defeat this threat. Now I’d like to turn to ranking member Grassley."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"Thank you Mr. Chairman, and thank you director Wray for being here, as opposed to being virtual, like we have some people testifying. We all agree that what happened at the Capitol January 6th, was a desecration of our shared values. It was an attack on the seat of democracy. Those who engaged in violence, disgraced our country. And we know the statistics, at least seven people, including one US Capitol police officer, died as a result of that day. Also know that two officers committed suicide, and we know that hundreds were injured. And of course, we expected God watches over them and their families. Those who broke the law must be prosecuted, and Congress needs answers, especially about one officer, Brian Sicknick, what happened to him."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"In pursuit of the facts related to January 6th, Senator Durbin and I have sent oversight letters to the FBI and other agencies. To date, we haven’t received any productions. It’s difficult to hold a hearing today without records, so the FBI must fully respond to Congress. However, I’m pleased to see that many investigative cases are progressing around the country. As I noted before, the ultimate responsibility for this attack rests on the shoulders of those who unlawfully entered the Capitol. I’ve also made very clear that everyone involved must take responsibility for their actions that day, including our former president. Now in the wake of January 6th, we must seriously examine the threats of domestic extremism, but unfortunately this threat isn’t limited to the events of that terrible day. To fully address it, we must examine the forms of domestic extremism that span the ideological spectrum. And I hope this doesn’t put me opposite Senator Durbin on this issues, because I just heard him, and I don’t think I disagree with anything that he has said, but a narrow view of these matters would be intellectually dishonest."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"We’re not serious about tackling domestic extremism if we tolerate mobs that attack some police officers, but not all police officers. We’re not serious about tackling domestic extremism if we care about some government buildings being attacked, but not others. We’re not serious about tackling domestic extremism if we only focus on white supremacy movements, which isn’t the only idea ideology that’s responsible for murders and violence. Yes, white supremacy movements may be considered the most dangerous at a given time, but somehow it wasn’t last summer or won’t be when the next foreign attack is attempted. We must call extremism, wherever it happens, across the board, left or right, every time. We must focus our resources to try to see as much of it coming as we possibly can, wherever it comes from. It hardly registered in the media when marshals and Secret Service officers defended courthouses and the White House, that’s not Senator Durbin’s fault, that’s the media’s fault."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"They were called stormtroopers by the Speaker of the House, like they aren’t even human beings. Vice president Harris, when she was a Senator, supported the Minnesota Freedom Fund, an organization that helped bail out violent rioters in Minnesota. 13 staffers of a candidate for president at that time, boasted on Twitter that they donated to the group. According to one news report, the group paid $75,000 to get one man out of jail when he was charged with attempted murder for allegedly shooting at a police officer during the May protests. One of the most upsetting aspects of violence this summer, has been the targeting of innocent law enforcement officers, just like innocent law enforcement officers were targeted during January 6th. We had more than 700 officers being injured between May 27th last year and June 8th last year. Officers have been assaulted, slashed, struck with hammers, baseball bats and blinded by lasers. 67 Secret Service officers were injured during a three-day siege on the White House, which caused then president Trump, to be brought into a secure bunker."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"We also remember on television seeing our colleague from Kentucky, having a hard time getting to the White House when he wanted to go there sometime last summer. We also had the church across the street was lit on fire, across the street from the White House, as part of that continued left wing assault. More than 300 people were charged federally for their roles in those months of violence. 80 of those charges related to the use of arson and explosives. At least 14,000 people were arrested in 49 cities. At least 25 people died in violence related to the riots. There has been 280 arrests as a result of the January 6th attack, compared to more than 1000 arrests as a result of riots, just in Portland last year. It’s been estimated that insurance losses of summer’s civil unrest, possibly exceeded $2 billion."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"It’s been a relatively frequent site at summer’s violence events, to see individuals acting in coordination, holding the A symbol for Antifa. And as I said before, I don’t disagree with anything I heard Senator Durbin say this morning, but we did have an admitted Antifa adherent in Portland, murder a conservative protester. Supporters of that group have been charged federally for promoting riots and using Molotov cocktails. Even after president Biden’s electoral victory, can you believe this, Antifa rioters attacked the Oregon Democratic party headquarters and they did that on inauguration day. You’d think the results of the election ought to satisfy them, if that’s what they wanted to do accomplish in an anti-Trump manner of getting rid of Trump as president."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"Let’s not forget about left wing activists who opened fire on 24 Republican congressmen and hit a Capitol police officer, a congressional aide, a lobbyist and Representative Steve Scalise at a baseball field in Alexandria, Virginia. And of course our colleague on the other side of the aisle, had a life-threatening injury at that time. In light of these ever-present left wing threats, I’m concerned about resource shifting talk among our colleagues across the aisle. Let me say this clearly, we aren’t going to defund the anarchist extremism program or any other domestic terrorism program. It can’t be that the FBI needs a fully funded art theft program, but can’t afford to fight both right wing and left wing extremism. We must examine the issue of domestic terrorism broadly, very broadly, to include all forms of political extremism, domestic terrorism, wherever it falls on the political spectrum. No serious oversight activity and no other policy decisions can be made without doing both."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"As we move forward, I encourage both houses of Congress to review not just the events of January 6th, but also domestic violent extremism across the board and the threat it brings to our families and communities. And let me emphasize three times now, nothing I heard Senator Durbin say do I disagree with, but we need real answers on extreme involvement, on pre-planning and coordination. And we also need to know what happened to officer Sicknick. In closing, I want to express my sincere thanks and appreciation for law enforcement and in particular, the Capitol police for their efforts on the job and during the terrible events of January 6th, they’re truly heroes. I yield. Thank you."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"Thank you Senator Grassley. Director Wray, would you please stand to be sworn? Do you affirm the testimony you’re about to give will be the truth, the whole truth and nothing but the truth, so help you God? Thank you. Let the record reflect that the director answered in the affirmative and now director, you may proceed with your testimony."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Oh, there we go. So good morning, Chairman Durbin, ranking member, Grassley and members of the committee, I appreciate the opportunity to be here today to talk about the great work of the men and women of the FBI. Let me start with a quick update on the investigation into the January 6th attack here at the Capitol. I was appalled, like you, at the violence and destruction that we saw that day. I was appalled that you, our country’s elected leaders, were victimized right here in these very halls. That attack, that siege was criminal behavior, plain and simple, and it’s behavior that we, the FBI, view as domestic terrorism. It’s got no place in our democracy and tolerating it would make a mockery of our nation’s rule of law. The rule of law, of course, is our country’s bedrock and it’s our guiding principle at the FBI. That’s why the FBI has been working day and night across the country, to track down those responsible for the events of January 6th and to hold them accountable."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"We’re chasing down leads, we’re reviewing evidence, combing through digital media to identify, investigate, and arrest anyone who broke the law that day. And our greatest partner in this investigation, has been the American people themselves, your constituents. Citizens from around the country have sent us more than 270,000 digital media tips. Some have even taken the painful step of turning in their friends or their family members. But with their help, we’ve identified hundreds of suspects and opened hundreds of investigations in all but one of our 56 field offices. And of those identified, we’ve arrested already more than 270 individuals to date, over 300 when you include the ones of our partners, with more subjects being identified and charged just about every single day. The FBI is committed to seeing this through no matter how many people it takes or how long or the resources we need to get it done, because as citizens, in a sense, we’re all victims of the January 6th assault and the American people deserve nothing less."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Unfortunately, as you noted Mr. Chairman, January 6th was not an isolated event. The problem of domestic terrorism has been metastasizing across the country for a long time now, and it’s not going away anytime soon. At the FBI, we’ve been sounding the alarm on it for a number of years now. I’ve been sounding the alarm about domestic terrorism since, I think, just about my first month on the job, when I first started appearing up on the Hill and I’ve spoken about it in maybe a dozen different congressional hearings. So whenever we’ve had the chance, we’ve tried to emphasize that this is a top concern and remains so for the FBI. In fact, in fact, we viewed it as such a critical threat, that back in June of 2019, under my leadership, we elevated racially and ethnically motivated violent extremism to our highest threat priority, on the same level with ISIS and homegrown violent extremists, where it remains to this day."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Now I’m sure we’re going to cover a lot of ground today, but let me make one thing clear, the FBI will not tolerate agitators and extremists who plan or commit violence, period. And that goes for violent extremists of any stripe. As I’ve said many times, we do not investigate ideology, but we focus on acts of violence and violations of federal law. And when we see those, when we see those, we will bring to bear the full weight of our resources, our experience, and our partnerships. And when domestic violent extremists use explosive devices, when they attack government facilities and businesses, when they assault law enforcement officers, when they use violence to interfere with the lawful operation of our government, they should expect the FBI to come knocking on their door, no matter where they try to run."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Now of course, these are not the only issues the FBI is focused on every day, and as I hope we’ll discuss in more detail this morning, we confront a wide variety of threats in countless other forms, like the SolarWinds intrusions which we’re working to investigate and counter with our intelligence, law enforcement and private sector partners, both here and abroad. Not to mention a huge range of other cyber threats, from nation states, criminals and toxic combinations of the two, like the vast unrelenting counter-intelligence threat from China, and of course the alarming threat of violence towards law enforcement officers. A threat that’s especially close to home here in the Capitol, the attack on January 6th, not only resulted in the injuries of over 100 law enforcement officers, but also the tragic death of US Capitol police officer Brian Sicknick in the line of duty."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"The threat of violence to law enforcement is also deeply personal for us at the FBI. Just one month ago today, two of our special agents, Laura Schwartzenberger and Dan Alfin, were tragically killed in the line of duty and four more of our agents, shot or wounded all while serving a search warrant. And I can tell you that there is nothing, nothing, more devastating, more heartbreaking than the loss of our own. The loss of two special agents who not only bravely did what I consider one of the hardest jobs in the FBI, investigating crimes against children, but who were also each parents of young children themselves, of their own, a wife, a husband, and cherished members of their communities. And I know a number of members of Congress, including a number on this committee, reached out and offered their condolences and offerings of support, and I want you to know how much that means to the FBI and how much it means to me personally."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Special agents, Laura Schwartzenberger and Dan Alfin sacrificed their lives that day, like far too many of our law enforcement brethren also killed in the line of duty. Their ultimate sacrifice was not in vain, it was to protect the American people, it was to protect each of us. And it’s why no matter what comes our way, our work to safeguard the rule of law, to protect the American people and to uphold the constitution, goes on and will never stop. Thank you for the opportunity to speak with you today. I look forward to answering your questions."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"Thanks director. We’ll have seven minute rounds for the members to ask questions. Let me start. And as you said at the outset, we could spend the better part of the day or beyond that, with all the topics of importance involving the FBI, but I really have to stay with the January 6th situation. There’s a lot of confusion about the planning and coordination by federal state and local law enforcement agencies in the days leading up to the attack on the Capitol. I was surprised to learn the FBI did not issue a threat assessment before January 6th, especially because the FBI’s Norfolk, Virginia field office had uncovered specific threats against members of Congress, maps of the tunnel system under the Capitol complex and places to meet before-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"Of the tunnel system under the Capitol complex and places to meet before traveling together to Washington. I was also surprised to hear acting D.C. Metropolitan Police Department Chief Robert Conti say that his information was only conveyed to the MPD in an email at 7:00 PM the night before January 6th. Chief Conti acknowledged that the information was raw intelligence, but said he would think, “Something as violent as an insurrection at the Capitol would warrant a phone call or something.” So it comes down to the basic question of what the FBI knew, when they knew it, whether they shared it, why this didn’t rise to the level of a threat assessment."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So, Mr. Chairman, I welcomed the question. You touched on a number of points there. So first, let me say that we were, in the period leading up to January 6th, tracking a large amount of information about large numbers of people coming to participate in protests and about the potential for violence. The one specific piece of information that you referred to, the information from our Norfolk field office has gotten a lot of attention."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So this was what’s called a situational information report. It was prepared by our Norfolk field office specifically for dissemination. It was, as you noted, raw, unverified, uncorroborated information that had been posted online. And my understanding was that that information was quickly, as in, within an hour, disseminated and communicated with our partners, including the US Capitol police, including Metro PD, in not one, not two, but three different."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,When? Can you be more specific on time?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Sure, yeah, three different ways. So first there was an email, as you said, to our joint terrorism task force, which includes, the joint terrorism task force includes task force officers specifically selected by their chiefs who participate on the joint terrorism task forces for the very reason to be that chief’s, that department’s eyes and ears so that they get the information real-time, their departments do. So that’s the first piece."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Second, in addition to the email, verbally through the command post briefing that we had, because we had stood up command posts, both in the Washington field office and at headquarters, and those command posts included, again, representatives of the relevant agencies, Capitol police, MPD, et cetera, verbally the same information was walked through again."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"And third, in addition to the email, in addition to the verbal briefing at the command post, the information was posted on what we call LEAP, which is a law enforcement portal, which is made available to law enforcement, not just here in the national capital region, but all around the country."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Now, again, the information was raw. It was unverified. In a perfect world, we would have taken longer to be able to out whether it was reliable, but we made the judgment, our folks made the judgment to get that information to the relevant people as quickly as possible, like I said, three different ways in order to leave as little as possible to chance. Now, I didn’t see the report myself even until after the 6th, but the way in which it handled, at least as I understand, strikes me as consistent with our normal process."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"Director, I was surprised to see that reporting that dozens of individuals on the terrorist screening database, also known as the terrorist watchlist, traveled to D.C. in the days leading up to the attack, I would have expected the FBI’s terrorist screening center to be aware of air travel by watchlisted individuals to the Washington D.C. area. Did the TSC notice an uptick in travel by watchlisted individuals before January 6th? If yes, what steps did they take, or did the FBI take in more general terms to make sure other departments and agencies knew these dangerous individuals were on their way to the Capitol?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So when it comes to the watchlist, I think there’s a couple of things I could say here today. So one is I do know that in a number of instances, there were individuals on whom we had previously predicated investigations that we saw getting ready to potentially travel. And these are not large numbers, but a handful of people. And in those instances, in a number of instances, we had agents in their home states or home cities approach those individuals, interview them. Even if we didn’t have a basis to charge somebody, it dissuaded a number of those people from traveling."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"I guess the second thing I would say is that sometimes there’s a little confusion on the whole watchlist in concept. There’s a true no fly list, which is what applies to individuals who, under the rules, provide a threat to aviation itself, and then there’s what we sometimes refer to as selectees, which are individuals that can’t necessarily be barred in the same way from traveling, but in which there’s notice given to the agents investigating those individuals, and that information is then passed on. So in a number of instances, that happened in the period leading up to the 6th. I don’t have numbers for you though."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"I just have a minute left, but I want to address what I consider the next big lie after the lie that the President really won to November 3rd, President Trump. The next big lie appears to be the argument that somehow or another, those were not Trump supporters who invaded the Capitol. It made the rounds on the internet right before they came into the building and has been gaining momentum ever since. I like to ask you, Director Wray, do you agree that the Capitol attack involved white supremacists and other violent extremists?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Certainly the Capitol attack involved violent extremists. As I said, we, the FBI, consider this a form of domestic terrorism. It included a variety of backgrounds. Certainly there were quite a number, we’re seeing quite a number as we’re building out the cases on the individuals we’ve arrested for the violence, quite a number of what we would call sort of militia violent extremists. So we’ve got a number who self-identify with the Proud Boys or the Oathkeepers, things like that. We also have a couple of instances where we’ve already identified individuals involved in the criminal behavior who we would put in the racially motivated violent extremists who advocate for, what you would call for white supremacy. So there’ve been some of those individuals as well."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"One of the things that’s happening as part of this is that as we build out the cases on individuals when we arrest them for the violence, we’re getting a richer and richer understanding of different people’s motivations. But certainly, as I said, militia violent extremism, some instances of a racially motivated violent extremism specifically advocating for the superior of the white race."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"Based on your investigations so far, do you have any evidence that the Capitol attack was organized by, “Fake Trump protestors.”"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,We have not seen evidence of that at this stage certainly.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,Thank you. Senator Grassley.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"Yeah. We all want to know what happened to Officer Brian Sicknick, the tragic death as a result of that January 6th assault. There’s been conflicting reports about his cause of death. Have you determined the exact cause of death and is there a homicide investigation?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So I’ll take the last part of your question first. There is an ongoing investigation into his death. I have to be careful at this stage because it’s ongoing not to get out in front of it, but I certainly understand and respect and appreciate the keen interest in what happened to him. After all, he was here protecting all of you. And as soon as our there are information that we can appropriately share, we want to be able to do that. But at the moment, the investigation is still ongoing."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,"So does that mean since the investigation’s going on, you have not determined the exact cause of the death?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,That means we can’t yet disclose a cause of death at this stage.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Grassley,But you have determined the cause of death?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,I didn’t say that. We’re not at a point where we can disclose or confirm the cause of death.
